twitter_text_data_PT;count
jaqueta;2
";";2
independente;2
experimentar;2
curioso;2
ei;2
organizar;2
bragantino	;2
aeronáutica;2
foto	;2
pernas	;2
vazia;2
ademir;2
heterotop;2
aplicar;2
fora	;2
voce;2
futebol	;2
cali;2
deadlift;2
dieta	;2
beauchamp;2
rafinha;2
pedido;2
considerada;2
atualizações;2
semana	;2
econômico;2
#meninodavila;2
frase;2
“minha;2
formações;2
lentes;2
portas	;2
wr;2
pilates;2
caldas;2
vogue;2
adm;2
morte	;2
atualização;2
beyonc;2
hein	;2
mendoza;2
8x1;2
#espnnostarplus	;2
@fortalezaec;2
pedidos;2
capítulo;2
evidência;2
gostou;2
del;2
@meutimao;2
mó;2
proposta;2
doido;2
aparelhos;2
sofrido;2
cantor;2
3);2
22h;2
manobras;2
